iter	Passed	Remaining
0	0	28
1	0	25
2	0	23
3	0	21
4	1	20
5	1	20
6	1	19
7	1	19
8	1	19
9	2	19
10	2	18
11	2	18
12	2	18
13	2	17
14	3	17
15	3	17
16	3	17
17	3	16
18	3	16
19	4	16
20	4	16
21	4	16
22	4	15
23	4	15
24	5	15
25	5	15
26	5	14
27	5	14
28	5	14
29	6	14
30	6	14
31	6	13
32	6	13
33	6	13
34	7	13
35	7	13
36	7	12
37	7	12
38	7	12
39	8	12
40	8	12
41	8	11
42	8	11
43	8	11
44	9	11
45	9	11
46	9	10
47	9	10
48	9	10
49	10	10
50	10	9
51	10	9
52	10	9
53	10	9
54	11	9
55	11	8
56	11	8
57	11	8
58	11	8
59	12	8
60	12	7
61	12	7
62	12	7
63	12	7
64	13	7
65	13	6
66	13	6
67	13	6
68	13	6
69	14	6
70	14	5
71	14	5
72	14	5
73	14	5
74	15	5
75	15	4
76	15	4
77	15	4
78	15	4
79	16	4
80	16	3
81	16	3
82	16	3
83	16	3
84	17	3
85	17	2
86	17	2
87	17	2
88	17	2
89	17	1
90	18	1
91	18	1
92	18	1
93	18	1
94	18	0
95	19	0
96	19	0
97	19	0
98	19	0
99	19	0
